Name           Surname        Final_Grade(Aver. )
Name9898       Surname9898    6.67           
Name9897       Surname9897    7.40           
Name133        Surname133     6.87           
Name134        Surname134     5.87           
Name135        Surname135     5.40           
Name9895       Surname9895    8.00           
Name137        Surname137     6.60           
Name138        Surname138     7.80           
Name9892       Surname9892    6.67           
Name140        Surname140     5.40           
Name9890       Surname9890    7.00           
Name142        Surname142     5.40           
Name143        Surname143     5.87           
Name9889       Surname9889    7.67           
Name145        Surname145     8.13           
Name146        Surname146     6.00           
Name9886       Surname9886    6.60           
Name148        Surname148     5.47           
Name9885       Surname9885    8.33           
Name150        Surname150     5.13           
Name9883       Surname9883    5.33           
Name9880       Surname9880    7.53           
Name9876       Surname9876    5.07           
Name9875       Surname9875    5.87           
Name9872       Surname9872    5.20           
Name156        Surname156     6.93           
Name9870       Surname9870    7.87           
Name158        Surname158     5.73           
Name159        Surname159     6.53           
Name9867       Surname9867    7.33           
Name161        Surname161     5.87           
Name9864       Surname9864    5.93           
Name163        Surname163     7.20           
Name9863       Surname9863    5.67           
Name9861       Surname9861    8.40           
Name166        Surname166     6.07           
Name167        Surname167     6.93           
Name168        Surname168     7.07           
Name9859       Surname9859    6.93           
Name9856       Surname9856    7.27           
Name171        Surname171     8.47           
Name172        Surname172     6.00           
Name9855       Surname9855    6.40           
Name174        Surname174     7.80           
Name9854       Surname9854    5.33           
Name9853       Surname9853    5.27           
Name9852       Surname9852    6.00           
Name9849       Surname9849    5.67           
Name179        Surname179     7.47           
Name180        Surname180     7.20           
Name181        Surname181     5.13           
Name182        Surname182     5.40           
Name9848       Surname9848    5.07           
Name184        Surname184     7.00           
Name185        Surname185     5.60           
Name9847       Surname9847    5.33           
Name9846       Surname9846    7.73           
Name9845       Surname9845    6.47           
Name189        Surname189     7.40           
Name190        Surname190     6.53           
Name191        Surname191     7.27           
Name9844       Surname9844    7.53           
Name193        Surname193     5.00           
Name194        Surname194     6.27           
Name195        Surname195     7.33           
Name9843       Surname9843    5.67           
Name9839       Surname9839    5.80           
Name9837       Surname9837    7.27           
Name199        Surname199     5.47           
Name200        Surname200     6.73           
Name201        Surname201     6.07           
Name9836       Surname9836    8.80           
Name203        Surname203     7.80           
Name9835       Surname9835    7.67           
Name9828       Surname9828    5.87           
Name206        Surname206     8.07           
Name9826       Surname9826    7.40           
Name208        Surname208     5.93           
Name9821       Surname9821    5.20           
Name9820       Surname9820    5.00           
Name9819       Surname9819    6.53           
Name212        Surname212     7.27           
Name9818       Surname9818    8.60           
Name9814       Surname9814    5.93           
Name9813       Surname9813    7.93           
Name216        Surname216     5.00           
Name9812       Surname9812    8.27           
Name218        Surname218     7.53           
Name9811       Surname9811    7.40           
Name220        Surname220     6.60           
Name221        Surname221     5.67           
Name222        Surname222     6.40           
Name9810       Surname9810    6.07           
Name9809       Surname9809    7.40           
Name9808       Surname9808    5.20           
Name226        Surname226     6.73           
Name9805       Surname9805    6.33           
Name228        Surname228     7.00           
Name229        Surname229     9.13           
Name230        Surname230     6.53           
Name231        Surname231     5.13           
Name232        Surname232     5.53           
Name9804       Surname9804    6.13           
Name234        Surname234     6.13           
Name9803       Surname9803    5.33           
Name236        Surname236     7.60           
Name9798       Surname9798    6.53           
Name238        Surname238     6.47           
Name9795       Surname9795    5.73           
Name240        Surname240     5.07           
Name241        Surname241     6.73           
Name9794       Surname9794    6.27           
Name9793       Surname9793    7.00           
Name244        Surname244     7.87           
Name9791       Surname9791    7.33           
Name246        Surname246     5.20           
Name9790       Surname9790    8.87           
Name248        Surname248     5.80           
Name9789       Surname9789    5.13           
Name9788       Surname9788    5.00           
Name251        Surname251     6.00           
Name9787       Surname9787    7.93           
Name253        Surname253     5.07           
Name254        Surname254     6.27           
Name9784       Surname9784    7.27           
Name256        Surname256     5.53           
Name257        Surname257     8.73           
Name9779       Surname9779    5.40           
Name9776       Surname9776    5.20           
Name260        Surname260     6.47           
Name261        Surname261     5.27           
Name9773       Surname9773    7.67           
Name263        Surname263     8.80           
Name264        Surname264     7.00           
Name9770       Surname9770    7.67           
Name266        Surname266     5.60           
Name9768       Surname9768    6.20           
Name268        Surname268     5.07           
Name269        Surname269     7.47           
Name9767       Surname9767    6.00           
Name9765       Surname9765    5.00           
Name272        Surname272     7.47           
Name273        Surname273     5.73           
Name9764       Surname9764    6.33           
Name9761       Surname9761    7.53           
Name9759       Surname9759    8.20           
Name277        Surname277     5.07           
Name278        Surname278     7.47           
Name9758       Surname9758    6.47           
Name9756       Surname9756    5.80           
Name9754       Surname9754    6.07           
Name282        Surname282     7.40           
Name9751       Surname9751    6.07           
Name284        Surname284     7.33           
Name9750       Surname9750    6.33           
Name286        Surname286     6.40           
Name287        Surname287     6.80           
Name288        Surname288     5.53           
Name9748       Surname9748    5.00           
Name9747       Surname9747    7.47           
Name291        Surname291     6.80           
Name292        Surname292     6.60           
Name293        Surname293     7.93           
Name9745       Surname9745    6.93           
Name295        Surname295     7.20           
Name296        Surname296     7.93           
Name297        Surname297     8.73           
Name298        Surname298     5.13           
Name299        Surname299     5.73           
Name9744       Surname9744    7.27           
Name301        Surname301     6.73           
Name9743       Surname9743    5.13           
Name303        Surname303     6.40           
Name9740       Surname9740    7.27           
Name305        Surname305     5.27           
Name9737       Surname9737    5.07           
Name9734       Surname9734    6.80           
Name9733       Surname9733    6.87           
Name9732       Surname9732    7.07           
Name9730       Surname9730    6.20           
Name311        Surname311     5.07           
Name312        Surname312     7.73           
Name9727       Surname9727    7.40           
Name314        Surname314     8.60           
Name9726       Surname9726    7.47           
Name316        Surname316     7.53           
Name317        Surname317     6.67           
Name318        Surname318     5.67           
Name319        Surname319     7.20           
Name9725       Surname9725    6.67           
Name9721       Surname9721    6.73           
Name322        Surname322     5.40           
Name323        Surname323     6.27           
Name324        Surname324     8.33           
Name325        Surname325     5.20           
Name9720       Surname9720    6.80           
Name327        Surname327     6.80           
Name9719       Surname9719    7.00           
Name9716       Surname9716    7.80           
Name330        Surname330     5.73           
Name331        Surname331     6.40           
Name9715       Surname9715    5.47           
Name333        Surname333     5.33           
Name9710       Surname9710    6.67           
Name9702       Surname9702    8.00           
Name336        Surname336     5.53           
Name337        Surname337     8.00           
Name338        Surname338     9.07           
Name9700       Surname9700    7.40           
Name340        Surname340     8.13           
Name9699       Surname9699    7.87           
Name342        Surname342     6.27           
Name9698       Surname9698    6.20           
Name9691       Surname9691    6.60           
Name9690       Surname9690    8.47           
Name346        Surname346     6.13           
Name347        Surname347     8.00           
Name9688       Surname9688    7.00           
Name9684       Surname9684    7.13           
Name9683       Surname9683    6.47           
Name351        Surname351     5.93           
Name9681       Surname9681    8.00           
Name353        Surname353     8.33           
Name9679       Surname9679    7.33           
Name9678       Surname9678    6.00           
Name9673       Surname9673    8.00           
Name357        Surname357     6.87           
Name9671       Surname9671    7.93           
Name9669       Surname9669    5.80           
Name360        Surname360     8.00           
Name361        Surname361     6.00           
Name362        Surname362     6.33           
Name363        Surname363     5.53           
Name364        Surname364     6.27           
Name9668       Surname9668    7.93           
Name366        Surname366     7.13           
Name9667       Surname9667    5.33           
Name368        Surname368     6.87           
Name369        Surname369     5.73           
Name9666       Surname9666    7.60           
Name9664       Surname9664    7.67           
Name372        Surname372     7.00           
Name9661       Surname9661    7.60           
Name9659       Surname9659    7.47           
Name375        Surname375     5.33           
Name376        Surname376     5.13           
Name9658       Surname9658    7.33           
Name9656       Surname9656    6.93           
Name9654       Surname9654    7.67           
Name9651       Surname9651    6.40           
Name381        Surname381     7.47           
Name382        Surname382     6.47           
Name9649       Surname9649    7.87           
Name384        Surname384     5.87           
Name9647       Surname9647    5.00           
Name9646       Surname9646    5.93           
Name387        Surname387     7.47           
Name9640       Surname9640    9.33           
Name389        Surname389     6.87           
Name390        Surname390     5.47           
Name391        Surname391     7.13           
Name392        Surname392     7.60           
Name393        Surname393     5.47           
Name394        Surname394     6.13           
Name395        Surname395     8.00           
Name396        Surname396     6.53           
Name9638       Surname9638    7.87           
Name398        Surname398     5.73           
Name399        Surname399     5.67           
Name400        Surname400     8.67           
Name9637       Surname9637    7.07           
Name9635       Surname9635    5.53           
Name9634       Surname9634    5.73           
Name9633       Surname9633    6.67           
Name9632       Surname9632    5.73           
Name406        Surname406     7.53           
Name407        Surname407     5.40           
Name408        Surname408     7.87           
Name9630       Surname9630    7.53           
Name410        Surname410     7.20           
Name411        Surname411     8.47           
Name9629       Surname9629    8.93           
Name9626       Surname9626    7.60           
Name414        Surname414     5.07           
Name415        Surname415     6.53           
Name416        Surname416     7.60           
Name417        Surname417     6.33           
Name9621       Surname9621    5.60           
Name9618       Surname9618    5.40           
Name9616       Surname9616    6.00           
Name421        Surname421     6.93           
Name422        Surname422     8.07           
Name9615       Surname9615    5.53           
Name424        Surname424     7.40           
Name9614       Surname9614    5.67           
Name426        Surname426     5.13           
Name9613       Surname9613    5.80           
Name428        Surname428     6.13           
Name9612       Surname9612    7.13           
Name430        Surname430     7.27           
Name9611       Surname9611    8.40           
Name9609       Surname9609    7.73           
Name9608       Surname9608    5.33           
Name9607       Surname9607    5.53           
Name435        Surname435     7.53           
Name436        Surname436     6.27           
Name437        Surname437     6.00           
Name438        Surname438     5.13           
Name9603       Surname9603    8.60           
Name440        Surname440     7.53           
Name9602       Surname9602    5.53           
Name442        Surname442     9.67           
Name9599       Surname9599    8.40           
Name444        Surname444     6.60           
Name9596       Surname9596    7.60           
Name446        Surname446     6.27           
Name447        Surname447     8.00           
Name9591       Surname9591    5.20           
Name9590       Surname9590    7.93           
Name9589       Surname9589    7.20           
Name9584       Surname9584    6.27           
Name9582       Surname9582    6.13           
Name453        Surname453     7.67           
Name9581       Surname9581    5.93           
Name455        Surname455     6.07           
Name9580       Surname9580    5.67           
Name9579       Surname9579    7.60           
Name458        Surname458     8.20           
Name459        Surname459     5.20           
Name460        Surname460     7.13           
Name9578       Surname9578    6.80           
Name462        Surname462     8.87           
Name463        Surname463     7.60           
Name464        Surname464     7.47           
Name465        Surname465     7.67           
Name9575       Surname9575    8.27           
Name9574       Surname9574    5.47           
Name468        Surname468     7.93           
Name469        Surname469     6.53           
Name470        Surname470     8.07           
Name9570       Surname9570    5.73           
Name472        Surname472     6.00           
Name9564       Surname9564    5.20           
Name9563       Surname9563    7.73           
Name9562       Surname9562    7.93           
Name9561       Surname9561    8.47           
Name9559       Surname9559    7.73           
Name9558       Surname9558    6.53           
Name9557       Surname9557    7.33           
Name480        Surname480     7.07           
Name481        Surname481     7.53           
Name482        Surname482     5.80           
Name9553       Surname9553    6.00           
Name484        Surname484     6.07           
Name485        Surname485     6.67           
Name9552       Surname9552    7.67           
Name487        Surname487     6.20           
Name9549       Surname9549    7.73           
Name489        Surname489     5.87           
Name490        Surname490     6.27           
Name9548       Surname9548    7.07           
Name9545       Surname9545    5.20           
Name493        Surname493     7.67           
Name494        Surname494     7.27           
Name9543       Surname9543    7.20           
Name9542       Surname9542    6.67           
Name497        Surname497     5.93           
Name498        Surname498     6.27           
Name499        Surname499     6.07           
Name9540       Surname9540    6.20           
Name9539       Surname9539    6.33           
Name502        Surname502     5.00           
Name9537       Surname9537    7.40           
Name504        Surname504     6.60           
Name9534       Surname9534    6.07           
Name9530       Surname9530    5.87           
Name507        Surname507     5.87           
Name508        Surname508     5.87           
Name9529       Surname9529    5.93           
Name510        Surname510     6.07           
Name511        Surname511     7.20           
Name9523       Surname9523    7.07           
Name513        Surname513     8.07           
Name514        Surname514     6.67           
Name515        Surname515     5.60           
Name516        Surname516     7.27           
Name517        Surname517     5.53           
Name518        Surname518     6.33           
Name519        Surname519     8.40           
Name520        Surname520     6.93           
Name521        Surname521     5.87           
Name522        Surname522     5.20           
Name9522       Surname9522    7.40           
Name524        Surname524     5.80           
Name9521       Surname9521    6.40           
Name526        Surname526     5.40           
Name527        Surname527     7.27           
Name9520       Surname9520    8.33           
Name9519       Surname9519    8.20           
Name9517       Surname9517    6.47           
Name531        Surname531     5.47           
Name9513       Surname9513    6.33           
Name533        Surname533     5.60           
Name9509       Surname9509    5.93           
Name535        Surname535     5.00           
Name9508       Surname9508    6.07           
Name537        Surname537     5.07           
Name9506       Surname9506    5.93           
Name9503       Surname9503    5.87           
Name540        Surname540     6.87           
Name541        Surname541     7.27           
Name542        Surname542     5.87           
Name543        Surname543     5.20           
Name9502       Surname9502    6.80           
Name545        Surname545     6.73           
Name546        Surname546     7.93           
Name547        Surname547     6.93           
Name9495       Surname9495    7.93           
Name9494       Surname9494    7.00           
Name550        Surname550     6.40           
Name9493       Surname9493    8.13           
Name552        Surname552     7.00           
Name9490       Surname9490    7.93           
Name554        Surname554     7.67           
Name9489       Surname9489    7.53           
Name9488       Surname9488    8.13           
Name557        Surname557     8.20           
Name9485       Surname9485    6.93           
Name559        Surname559     7.73           
Name560        Surname560     6.07           
Name9481       Surname9481    7.67           
Name562        Surname562     8.60           
Name563        Surname563     6.60           
Name9479       Surname9479    6.67           
Name9477       Surname9477    5.00           
Name9476       Surname9476    6.20           
Name9472       Surname9472    6.00           
Name9469       Surname9469    5.73           
Name9467       Surname9467    7.53           
Name9464       Surname9464    6.73           
Name571        Surname571     6.00           
Name572        Surname572     7.40           
Name9463       Surname9463    6.33           
Name574        Surname574     6.73           
Name9462       Surname9462    7.80           
Name576        Surname576     5.87           
Name9456       Surname9456    6.60           
Name578        Surname578     5.47           
Name9455       Surname9455    6.73           
Name9454       Surname9454    6.73           
Name9453       Surname9453    5.93           
Name582        Surname582     5.40           
Name9452       Surname9452    7.53           
Name584        Surname584     5.33           
Name9450       Surname9450    6.73           
Name9447       Surname9447    8.33           
Name9446       Surname9446    5.60           
Name9445       Surname9445    7.87           
Name589        Surname589     5.27           
Name9443       Surname9443    5.00           
Name9442       Surname9442    7.73           
Name592        Surname592     6.13           
Name593        Surname593     5.40           
Name594        Surname594     7.33           
Name9441       Surname9441    7.07           
Name9440       Surname9440    6.27           
Name9439       Surname9439    7.27           
Name598        Surname598     7.13           
Name9437       Surname9437    8.00           
Name600        Surname600     7.47           
Name601        Surname601     8.60           
Name9435       Surname9435    6.20           
Name603        Surname603     5.07           
Name9434       Surname9434    6.67           
Name9433       Surname9433    6.53           
Name606        Surname606     6.73           
Name9431       Surname9431    5.80           
Name608        Surname608     5.00           
Name9429       Surname9429    6.80           
Name610        Surname610     6.20           
Name9426       Surname9426    6.20           
Name612        Surname612     5.87           
Name613        Surname613     7.20           
Name9423       Surname9423    8.60           
Name615        Surname615     6.13           
Name616        Surname616     8.73           
Name617        Surname617     6.07           
Name9422       Surname9422    8.67           
Name9420       Surname9420    5.07           
Name620        Surname620     7.13           
Name621        Surname621     5.60           
Name9418       Surname9418    8.87           
Name9414       Surname9414    5.20           
Name9412       Surname9412    6.60           
Name625        Surname625     5.47           
Name9409       Surname9409    7.60           
Name627        Surname627     5.20           
Name9408       Surname9408    5.80           
Name9406       Surname9406    5.53           
Name9405       Surname9405    7.20           
Name9404       Surname9404    6.40           
Name632        Surname632     6.00           
Name633        Surname633     6.87           
Name634        Surname634     6.87           
Name635        Surname635     6.33           
Name9403       Surname9403    5.87           
Name637        Surname637     5.53           
Name638        Surname638     5.67           
Name639        Surname639     7.47           
Name9402       Surname9402    8.00           
Name641        Surname641     5.73           
Name642        Surname642     5.87           
Name9401       Surname9401    8.00           
Name9399       Surname9399    6.40           
Name645        Surname645     8.87           
Name646        Surname646     7.53           
Name647        Surname647     6.80           
Name648        Surname648     5.47           
Name9398       Surname9398    5.13           
Name650        Surname650     5.20           
Name9396       Surname9396    8.93           
Name652        Surname652     7.60           
Name9394       Surname9394    5.67           
Name654        Surname654     8.40           
Name9392       Surname9392    7.00           
Name9391       Surname9391    6.87           
Name657        Surname657     9.00           
Name658        Surname658     8.27           
Name9387       Surname9387    7.27           
Name9386       Surname9386    5.73           
Name9384       Surname9384    5.47           
Name9380       Surname9380    6.80           
Name9379       Surname9379    7.13           
Name664        Surname664     5.80           
Name9378       Surname9378    6.47           
Name666        Surname666     7.00           
Name9377       Surname9377    8.80           
Name9376       Surname9376    7.93           
Name9375       Surname9375    7.20           
Name9373       Surname9373    6.40           
Name9371       Surname9371    6.87           
Name672        Surname672     5.40           
Name9370       Surname9370    8.33           
Name9369       Surname9369    6.20           
Name9368       Surname9368    5.40           
Name676        Surname676     8.13           
Name9367       Surname9367    6.47           
Name9363       Surname9363    5.47           
Name679        Surname679     6.80           
Name9362       Surname9362    6.13           
Name9358       Surname9358    7.33           
Name9357       Surname9357    5.80           
Name683        Surname683     7.07           
Name9355       Surname9355    5.00           
Name9353       Surname9353    6.93           
Name686        Surname686     7.00           
Name9352       Surname9352    7.93           
Name9350       Surname9350    6.67           
Name689        Surname689     7.60           
Name690        Surname690     8.20           
Name691        Surname691     5.60           
Name9349       Surname9349    7.00           
Name693        Surname693     7.67           
Name9347       Surname9347    6.13           
Name9345       Surname9345    6.07           
Name696        Surname696     8.27           
Name9344       Surname9344    5.60           
Name9342       Surname9342    6.47           
Name9340       Surname9340    7.73           
Name9336       Surname9336    5.87           
Name9334       Surname9334    6.13           
Name702        Surname702     7.53           
Name703        Surname703     7.27           
Name704        Surname704     5.80           
Name9333       Surname9333    7.47           
Name9332       Surname9332    7.93           
Name707        Surname707     5.20           
Name708        Surname708     6.07           
Name9331       Surname9331    6.53           
Name710        Surname710     5.00           
Name711        Surname711     6.67           
Name712        Surname712     5.40           
Name9330       Surname9330    5.47           
Name9329       Surname9329    6.27           
Name715        Surname715     5.47           
Name716        Surname716     7.87           
Name717        Surname717     7.87           
Name718        Surname718     7.73           
Name719        Surname719     7.40           
Name720        Surname720     6.20           
Name9324       Surname9324    6.87           
Name9323       Surname9323    7.87           
Name723        Surname723     7.07           
Name9321       Surname9321    7.33           
Name725        Surname725     5.27           
Name9320       Surname9320    5.73           
Name727        Surname727     5.20           
Name9317       Surname9317    6.07           
Name729        Surname729     8.07           
Name730        Surname730     6.93           
Name731        Surname731     5.73           
Name9316       Surname9316    5.60           
Name733        Surname733     5.87           
Name9312       Surname9312    7.93           
Name735        Surname735     7.60           
Name736        Surname736     5.20           
Name9310       Surname9310    8.13           
Name9309       Surname9309    8.07           
Name9307       Surname9307    5.80           
Name9303       Surname9303    5.13           
Name741        Surname741     6.33           
Name9301       Surname9301    5.53           
Name743        Surname743     7.80           
Name744        Surname744     8.47           
Name9299       Surname9299    6.93           
Name746        Surname746     7.20           
Name747        Surname747     5.13           
Name9298       Surname9298    5.93           
Name749        Surname749     7.07           
Name9296       Surname9296    5.40           
Name751        Surname751     8.13           
Name752        Surname752     7.27           
Name753        Surname753     6.53           
Name9289       Surname9289    5.20           
Name755        Surname755     5.00           
Name9288       Surname9288    7.33           
Name757        Surname757     7.33           
Name9286       Surname9286    7.20           
Name9285       Surname9285    5.33           
Name760        Surname760     8.67           
Name9284       Surname9284    8.20           
Name762        Surname762     5.93           
Name763        Surname763     6.67           
Name9283       Surname9283    6.20           
Name9282       Surname9282    7.73           
Name9281       Surname9281    5.13           
Name767        Surname767     7.13           
Name768        Surname768     5.40           
Name9278       Surname9278    6.87           
Name9273       Surname9273    5.13           
Name9272       Surname9272    7.13           
Name772        Surname772     7.27           
Name773        Surname773     6.73           
Name9268       Surname9268    5.80           
Name9266       Surname9266    7.13           
Name776        Surname776     6.00           
Name9265       Surname9265    7.07           
Name778        Surname778     5.47           
Name779        Surname779     7.73           
Name9264       Surname9264    5.13           
Name781        Surname781     8.33           
Name782        Surname782     6.13           
Name9261       Surname9261    5.33           
Name9260       Surname9260    5.20           
Name9259       Surname9259    5.67           
Name786        Surname786     6.93           
Name9255       Surname9255    6.33           
Name788        Surname788     6.80           
Name789        Surname789     7.47           
Name790        Surname790     7.80           
Name791        Surname791     5.47           
Name792        Surname792     6.60           
Name793        Surname793     5.07           
Name9254       Surname9254    5.27           
Name795        Surname795     5.13           
Name9253       Surname9253    6.80           
Name9251       Surname9251    5.27           
Name798        Surname798     6.40           
Name799        Surname799     7.67           
Name9249       Surname9249    8.87           
Name9248       Surname9248    6.47           
Name802        Surname802     7.87           
Name803        Surname803     7.13           
Name804        Surname804     7.60           
Name805        Surname805     6.87           
Name9243       Surname9243    5.07           
Name9242       Surname9242    7.47           
Name808        Surname808     5.73           
Name9240       Surname9240    5.40           
Name9239       Surname9239    9.20           
Name811        Surname811     5.80           
Name812        Surname812     6.87           
Name813        Surname813     5.20           
Name814        Surname814     7.67           
Name9235       Surname9235    5.60           
Name816        Surname816     6.00           
Name9229       Surname9229    7.07           
Name818        Surname818     7.20           
Name9228       Surname9228    7.93           
Name9227       Surname9227    5.67           
Name821        Surname821     6.40           
Name822        Surname822     5.13           
Name9226       Surname9226    7.53           
Name824        Surname824     5.33           
Name825        Surname825     5.73           
Name9224       Surname9224    6.73           
Name827        Surname827     7.13           
Name828        Surname828     8.20           
Name829        Surname829     6.87           
Name9223       Surname9223    7.73           
Name9221       Surname9221    7.00           
Name832        Surname832     5.60           
Name833        Surname833     5.27           
Name834        Surname834     6.00           
Name9220       Surname9220    5.73           
Name836        Surname836     7.73           
Name9218       Surname9218    6.53           
Name9216       Surname9216    8.33           
Name9215       Surname9215    8.53           
Name9213       Surname9213    7.60           
Name9212       Surname9212    7.20           
Name842        Surname842     6.47           
Name9211       Surname9211    8.07           
Name844        Surname844     5.33           
Name845        Surname845     5.73           
Name9207       Surname9207    7.00           
Name847        Surname847     7.00           
Name848        Surname848     5.20           
Name9206       Surname9206    5.67           
Name850        Surname850     5.27           
Name9205       Surname9205    5.20           
Name852        Surname852     9.13           
Name853        Surname853     7.53           
Name854        Surname854     8.47           
Name9203       Surname9203    5.53           
Name856        Surname856     5.73           
Name9201       Surname9201    6.13           
Name9200       Surname9200    5.13           
Name859        Surname859     8.27           
Name860        Surname860     5.67           
Name861        Surname861     7.47           
Name862        Surname862     7.60           
Name863        Surname863     5.87           
Name864        Surname864     6.27           
Name9199       Surname9199    5.13           
Name9194       Surname9194    7.73           
Name9189       Surname9189    6.53           
Name868        Surname868     5.40           
Name9188       Surname9188    5.67           
Name870        Surname870     7.40           
Name871        Surname871     6.73           
Name872        Surname872     5.93           
Name9187       Surname9187    7.40           
Name874        Surname874     7.47           
Name9185       Surname9185    7.60           
Name876        Surname876     6.53           
Name877        Surname877     8.00           
Name878        Surname878     8.00           
Name9183       Surname9183    5.27           
Name9181       Surname9181    5.93           
Name9180       Surname9180    7.80           
Name882        Surname882     7.27           
Name9176       Surname9176    6.93           
Name9174       Surname9174    6.60           
Name9173       Surname9173    7.07           
Name886        Surname886     7.07           
Name9172       Surname9172    6.67           
Name888        Surname888     5.07           
Name889        Surname889     7.13           
Name9171       Surname9171    6.00           
Name9170       Surname9170    7.33           
Name892        Surname892     8.13           
Name9166       Surname9166    6.33           
Name9164       Surname9164    8.00           
Name9163       Surname9163    7.80           
Name9162       Surname9162    5.80           
Name897        Surname897     7.07           
Name898        Surname898     8.00           
Name899        Surname899     7.67           
Name900        Surname900     8.60           
Name9161       Surname9161    5.93           
Name902        Surname902     5.07           
Name9160       Surname9160    5.60           
Name9157       Surname9157    6.93           
Name905        Surname905     8.67           
Name906        Surname906     7.93           
Name907        Surname907     7.00           
Name908        Surname908     6.40           
Name9156       Surname9156    6.60           
Name910        Surname910     6.00           
Name911        Surname911     6.33           
Name9155       Surname9155    5.60           
Name9150       Surname9150    5.60           
Name914        Surname914     5.87           
Name9149       Surname9149    5.67           
Name9148       Surname9148    6.67           
Name917        Surname917     5.73           
Name9147       Surname9147    5.00           
Name9146       Surname9146    5.67           
Name9145       Surname9145    6.67           
Name9144       Surname9144    5.27           
Name9142       Surname9142    6.80           
Name9141       Surname9141    7.93           
Name924        Surname924     7.73           
Name925        Surname925     6.33           
Name9140       Surname9140    7.00           
Name927        Surname927     6.13           
Name9137       Surname9137    6.73           
Name929        Surname929     8.33           
Name9135       Surname9135    8.47           
Name9133       Surname9133    5.27           
Name932        Surname932     7.47           
Name9132       Surname9132    7.13           
Name934        Surname934     8.00           
